"NumberObject";"LESHOS";"LESNICH";"KZAS";"KV";"ADMR";"AKT";"FIRMA";"EX";"VYDEL";"PL";"KZM_M1";"OZU";"POR_M3";"BON";"TL";"TUM";"GRV";"ZAPV";"XOZS";"VOZRR";"KLVOZR";"XMER1";"XMER1P";"SUX";"XMER2";"POR_M2";"GOD_R";"PNI_W";"PNI_C";"DM";"NE2A";"PTK2";"PTK1";"TIP_M3";"ZAXLO";"ZAXLL";"OPT";"PTG";"MAPINFO_ID";"XMER3";"EKS";"KRUT";"LFLAG"
0;21;1;"131802";1;"522";"14";"1";"21";1;6,00;1101;403;304110;"1";"ÏÀÏ";"Ñ4";2;"5";"16";"37";"2";0;0;;0;;;;;;;;;;;;;31;78260;0;;;1
1;21;1;"131802";1;"522";"14";"1";"21";2;30,00;1101;403;304110;"1À";"ÏÀÏ";"Ñ4";3;"45";"16";"37";"3";0;0;;0;;;;;;;;;;;;;31;78261;0;;;1
2;21;1;"131802";1;"522";"14";"1";"21";3;12,00;1101;403;302600;"1";"ÏÀÏ";"Ñ4";3;"17";"14";"35";"3";1431;15;;0;;;;;;;;;;;;;30;78262;0;;;1
3;21;1;"131802";1;"522";"14";"1";"21";4;7,00;1101;253;804330;"4";"ÎÑ";"Â5";4;"1";"24";"77";"3";0;0;;0;;;;;;;;;;;;;33;78263;0;;;1
4;21;1;"131802";1;"522";"14";"1";"21";5;4,00;1101;253;804330;"4";"ÎÑ";"Â5";4;"1";"24";"77";"3";0;0;;0;;;;;;;;;;;;;33;78264;0;;;1
5;21;1;"131802";1;"522";"14";"1";"21";6;18,00;1101;0;304000;"1";"ÑÍ";"Ä3";4;"20";"15";"43";"3";0;0;;0;"100200";;;;;;;;;;;;24;78265;0;;;1
6;21;1;"131802";1;"522";"14";"1";"21";7;9,00;1101;0;302600;"1Á";"ÑÍ";"Ä3";3;"14";"14";"35";"3";0;0;;0;"100200";;;;;;;;;;;;24;78266;0;;;1
7;21;1;"131802";1;"522";"14";"1";"21";8;21,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"44";"14";"35";"4";0;0;;0;"100200";;;;;;;;;;;;23;78267;0;;;1
8;21;1;"131802";1;"522";"14";"1";"21";9;14,00;1108;0;202000;"1";"ÊÈÑ";"Ä2";3;"27";"6";"25";"3";0;0;;0;;;;;;;;;;;;;23;78268;0;;;1
9;21;1;"131802";1;"522";"14";"1";"21";10;68,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"143";"14";"35";"4";0;0;;0;"100200";;;;;;;;;;;;23;78269;0;;;1
10;21;1;"131802";1;"522";"14";"1";"21";11;9,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";3;"23";"16";"37";"4";0;0;;0;;;;;;;;;;;;;31;78270;0;;;1
11;21;1;"131802";1;"522";"14";"1";"21";12;12,00;1101;0;302600;"1À";"ÑÍ";"Ä3";4;"31";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;24;78271;0;;;1
12;21;1;"131802";1;"522";"14";"1";"21";13;3,00;1101;0;100200;"1À";"ÊÈÑ";"Ä2";3;"9";"3";"29";"3";0;0;;0;;;;;;;;;;;;;23;78272;0;;;1
13;21;1;"131802";1;"522";"14";"1";"21";14;44,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";4;"114";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;23;78273;0;;;1
14;21;1;"131802";1;"522";"14";"1";"21";15;6,00;1101;0;304110;"1";"ÊÈÑ";"Ä2";4;"13";"16";"37";"5";0;0;;0;"100200";;;;;;;;;;;;23;78274;0;;;1
15;21;1;"131802";1;"522";"14";"1";"21";16;25,00;1101;0;304110;"1";"ÊÐ";"Ä4";6;"75";"16";"37";"7";1211;0;;3285;;;;;;;;;;;;;31;78275;0;;;1
16;21;1;"131802";1;"522";"14";"1";"21";17;9,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";4;"20";"15";"43";"3";0;0;;0;;;;;;;;;;;;;23;78276;0;;;1
17;21;1;"131802";1;"522";"14";"1";"21";18;28,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";5;"98";"14";"35";"7";1211;0;;3211;"100200";;;;;;;;;;;;23;78277;0;;;1
18;21;1;"131802";1;"522";"14";"1";"21";19;17,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";1;"3";"14";"35";"1";0;0;;0;"100200";;;;;;;;;;;;23;78278;0;;;1
19;21;1;"131802";1;"522";"14";"1";"21";20;6,00;1201;0;202000;"2";"ÊÈÑ";"Ä2";0;;"6";"25";;1411;30;;3282;;;;;;;;;;;;;23;78279;0;;;1
20;21;1;"131802";1;"522";"14";"1";"21";21;17,00;1201;0;100200;"1";"ÊÈÑ";"Ä2";0;;"3";"29";;1411;35;;3282;;;;;;;;;;;;;23;78280;0;;;1
